High,Low,Open,Volume
233.30499267578125,218.0229949951172,219.4290008544922,38574000.0
861.4500122070312,792.9600219726562,796.239990234375,24303900.0
423.6570129394531,420.51800537109375,423.6199951171875,57858600.0
449.4030151367188,430.6820068359375,449.4030151367188,9849640.0
8514.66703526,8266.84057849,8405.56773288,24397913025.6774
1347.9100341796875,1314.9200439453125,1321.8699951171875,413115008.0
8470.98789038,8276.61224603,8336.90223051,13808286058.975
8140.71991773,7824.44888684,7881.6953208,25919126990.993
397.7659912109375,390.5750122070313,392.00201416015625,58147000.0
15903.43797604,15226.8393924,15579.72923853,39837841971.44575
247.2429962158203,244.1519927978516,244.74200439453125,16827300.0
112.3000030517578,108.51699829101562,109.99500274658205,10906334004.866829
239.53700256347656,234.1750030517578,236.01600646972656,16365200.0
9652.73686506,9305.02118582,9651.31279866,42515259129.2118
8122.89013671875,7809.169921875,7836.830078125,4935289856.0
228.13900756835932,210.4429931640625,228.11199951171875,59220700.0
10165.765355,9784.563802,10115.559686,39386548074.7018
4166.28616128,3968.72669838,3998.91627262,8922258315.77183
10736.1047208,10308.5478807,10345.7251399,19384917988.7139
284.2250061035156,268.1260070800781,281.989990234375,41383000.0
122.75499725341795,119.93000030517578,122.11100006103516,10906334004.866829
781.9219970703125,770.0399780273438,770.0399780273438,76571000.0
2523.719970703125,2321.3701171875,2321.3701171875,1725379968.0
225.718994140625,224.3789978027344,225.0050048828125,11131500.0
3875.48371414,3836.90573367,3862.26616642,7253558152.32178
441.6799926757813,426.26800537109375,431.6600036621094,55050600.0
2996.60009765625,2840.530029296875,2942.409912109375,1752400000.0
35487.2480035,31350.88385819,34659.10449948,40230904226.0
36400.66888165,33520.73795924,34607.40597914,31646080921.32
9406.43179329,9269.46813861,9357.47037892,30682598115.464
226.94400024414065,214.87399291992188,226.41000366210932,28943700.0
6735.4638794,6590.96271561,6675.17065538,35319797641.53
1156.1400146484375,1106.6099853515625,1129.3699951171875,10906334004.866829
9375.4697265625,8987.0498046875,9290.6298828125,7566289920.0
239.802001953125,235.9279937744141,239.01600646972656,22691300.0
588.3889770507812,565.3319702148438,571.3930053710938,29959800.0
136.0,130.61500549316406,131.98599243164062,10906334004.866829
239.56300354003903,224.9929962158203,225.6929931640625,33818600.0
12144.6227945,11158.9228142,12139.7138379,28595327690.1018
518.2849731445312,467.510986328125,485.0719909667969,46527600.0
247.5410003662109,241.16000366210932,244.22300720214844,22877200.0
7697.38271398,6936.70659892,7643.56942455,34242315784.8124
4113.02361297,4094.10084931,4105.45617673,9045122442.86547
923.9110107421876,919.8109741210938,919.8109741210938,68979600.0
281.6669921875,264.7690124511719,272.739013671875,41302400.0
657.4559936523438,648.447021484375,651.6270141601562,147460992.0
740.0460205078125,708.6099853515625,709.8250122070312,132429000.0
2916.139892578125,2498.8701171875,2608.590087890625,917411968.0
294.135009765625,282.17498779296875,294.135009765625,19982500.0
3679.94151048,3646.55933455,3671.58595682,6158833644.65178
6194.8798828125,5965.06982421875,5996.7900390625,2207099904.0
7254.33061134,7174.94415256,7194.89197053,18565664996.7884
6968.31982421875,6817.58984375,6843.47021484375,4641889792.0
10279.3659944,9716.65581044,10203.4268025,17603790323.1144
256.8529968261719,246.4759979248047,250.822998046875,43858400.0
231.18299865722656,220.20399475097656,222.0760040283203,31808000.0
5310.75014488,5233.63572083,5279.47114181,13111274675.1063
457.0929870605469,401.12298583984375,427.2730102539063,58945000.0
16463.17783998,15992.1528006,16276.4404772,31599492172.18153
326.4729919433594,312.2170104980469,326.4110107421875,53152900.0
1069.9100341796875,976.72998046875,976.72998046875,406648000.0
215.0500030517578,203.9900054931641,205.9900054931641,10906334004.866829
386.6310119628906,372.3869934082031,386.5889892578125,49249300.0
9963.13442838,9163.13464449,9471.21400074,24569921548.6747
461.375,447.0679931640625,447.9419860839844,72796800.0
9466.349609375,8513.0302734375,9414.6904296875,8704190464.0
11570.7863091,11185.9418123,11485.6083964,23240415075.9787
3674.75998688,3544.92722821,3658.86811698,4681302465.81578
829.0009765625,780.0029907226562,803.7369995117188,168968000.0
43546.1164845,30681.49691178,42944.97544731,126358098746.69
628.8179931640625,600.5059814453125,623.4240112304688,73610800.0
379.8789978027344,373.3340148925781,376.7569885253906,47671100.0
430.2550048828125,364.33099365234375,430.2550048828125,153351008.0
9416.40744016,8988.92370914,8988.92370914,15562951918.8338
333.9540100097656,315.1520080566406,326.8550109863281,37567900.0
643.9500122070312,612.3499755859375,616.3099975585938,15396500.0
335.3340148925781,325.27301025390625,334.6789855957031,45011100.0
123.46900177001952,119.89900207519533,121.4000015258789,10906334004.866829
604.4730224609375,595.9180297851562,599.0770263671875,13398100.0
57258.25497592,53290.89116852,54824.01119917,57295577613.75
8508.4296875,8175.490234375,8504.41015625,6760220160.0
1812.800048828125,1708.5400390625,1808.43994140625,731529024.0
34753.40850285,31772.63235532,32515.71430319,46317108924.69
641.3369750976562,635.9650268554688,640.8709716796875,92370200.0
283.0320129394531,277.52899169921875,280.4490051269531,17722200.0
614.47998046875,558.5800170898438,574.239990234375,31254000.0
623.0919799804688,615.3250122070312,622.0130004882812,13182400.0
3623.06775216,3565.31403323,3605.55702187,5433755648.65326
7280.52178187,7167.05456229,7260.92257873,31311210215.3203
345.8590087890625,327.06201171875,345.6730041503906,30864900.0
1156.43994140625,1120.52001953125,1145.52001953125,436310016.0
13129.5289339,11710.9784147,12571.5371616,33627574244.0567
714.1179809570312,696.4749755859375,714.1179809570312,100665000.0
239.33999633789065,235.52999877929688,238.88999938964844,11496200.0
